"state","allotment","pct","fy","program","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"Mississippi",6827000,0.00900972237069062,"FY23","CWSRF",1620845642,14603369.2401638,"STAG—Clean Water State Revolving Fund",2.3e+07,"MS",29827000,15223630.7598362,1.04247386404272,"Positive"
"Missouri",21005000,0.0277206999262277,"FY23","CWSRF",1620845642,44930975.6686159,"STAG—Clean Water State Revolving Fund",17401027,"MO",38406027,-6524948.66861589,-0.145221610960332,"Negative"
"Montana",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,NA,0,"MT",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Nebraska",3876000,0.0051152312741756,"FY23","CWSRF",1620845642,8291000.31856964,NA,0,"NE",3876000,-4415000.31856964,-0.532505144003096,"Negative"
"Nevada",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",18269600,"NV",21989600,14032293.1927041,1.76344754984665,"Positive"
"New Hampshire",7572000,0.00999291310837401,"FY23","CWSRF",1620845642,16196969.6625927,"STAG—Clean Water State Revolving Fund",9935000,"NH",17507000,1310030.33740731,0.0808811996748289,"Positive"
"New Jersey",30963000,0.0408624628334105,"FY23","CWSRF",1620845642,66231744.8049204,"STAG—Clean Water State Revolving Fund",28126818,"NJ",59089818,-7141926.80492044,-0.107832381978707,"Negative"
"New Mexico",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",13952000,"NM",17672000,9714693.19270406,1.22085190730572,"Positive"
"New York",83628000,0.110365469813405,"FY23","CWSRF",1620845642,178885390.77434,"STAG—Clean Water State Revolving Fund",63646193,"NY",147274193,-31611197.7743399,-0.176712014533466,"Negative"
"North Carolina",13675000,0.0180471588427119,"FY23","CWSRF",1620845642,29251658.7606914,"STAG—Clean Water State Revolving Fund",17285839,"NC",30960839,1709180.23930863,0.0584301988920176,"Positive"
"North Dakota",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,NA,0,"ND",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Ohio",42656000,0.0562939383981513,"FY23","CWSRF",1620845642,91243784.7236601,"STAG—Clean Water State Revolving Fund",36334946,"OH",78990946,-12252838.7236601,-0.134286831270413,"Negative"
"Oklahoma",6122000,0.00807932039744661,"FY23","CWSRF",1620845642,13095331.256523,"STAG—Clean Water State Revolving Fund",10936000,"OK",17058000,3962668.74347696,0.302601642207644,"Positive"
"Oregon",8559000,0.0112954758709156,"FY23","CWSRF",1620845642,18308222.8396898,"STAG—Clean Water State Revolving Fund",15952950,"OR",24511950,6203727.16031024,0.338849227182302,"Positive"
"Pennsylvania",30014000,0.0396100493970863,"FY23","CWSRF",1620845642,64201775.9446721,"STAG—Clean Water State Revolving Fund",28517287,"PA",58531287,-5670488.94467209,-0.0883229297201812,"Negative"
"Puerto Rico",9883000,0.013042783973859,"FY23","CWSRF",1620845642,21140339.5635768,NA,0,NA,9883000,-11257339.5635768,-0.532505144003096,"Negative"
"Rhode Island",5088000,0.00671473083668872,"FY23","CWSRF",1620845642,10883542.2138499,"STAG—Clean Water State Revolving Fund",10828000,"RI",15916000,5032457.78615008,0.462391534600379,"Positive"
"South Carolina",7762000,0.0102436597394611,"FY23","CWSRF",1620845642,16603391.2468363,"STAG—Clean Water State Revolving Fund",19523000,"SC",27285000,10681608.7531637,0.643338977824727,"Positive"
"South Dakota",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,NA,0,"SD",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Tennessee",11007000,0.0145261482546055,"FY23","CWSRF",1620845642,23544644.0935232,"STAG—Clean Water State Revolving Fund",4122800,"TN",15129800,-8414844.09352322,-0.357399502838016,"Negative"
"Texas",34632000,0.0457045122516124,"FY23","CWSRF",1620845642,74079959.5027615,"STAG—Clean Water State Revolving Fund",36401584,"TX",71033584,-3046375.50276151,-0.0411228019454837,"Negative"
"Utah",3992000,0.0052683186910498,"FY23","CWSRF",1620845642,8539131.39105521,"STAG—Clean Water State Revolving Fund",12500000,"UT",16492000,7952868.60894479,0.931343979233704,"Positive"
"Vermont",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,"STAG—Clean Water State Revolving Fund",1920000,"VT",5640000,-2317306.80729594,-0.29121747639179,"Negative"
"Virginia",15507000,0.0204648842540354,"FY23","CWSRF",1620845642,33170418.4571877,"STAG—Clean Water State Revolving Fund",6760000,"VA",22267000,-10903418.4571877,-0.328709101793831,"Negative"
"Washington",13177000,0.0173899387254417,"FY23","CWSRF",1620845642,28186406.3977792,"STAG—Clean Water State Revolving Fund",16054632,"WA",29231632,1045225.60222083,0.0370826130678077,"Positive"
"West Virginia",11812000,0.0155885221389479,"FY23","CWSRF",1620845642,25266588.1741343,"STAG—Clean Water State Revolving Fund",25139000,"WV",36951000,11684411.8258657,0.462445176425805,"Positive"
"Wisconsin",20484000,0.0270331262694048,"FY23","CWSRF",1620845642,43816524.9034005,"STAG—Clean Water State Revolving Fund",4423400,"WI",24907400,-18909124.9034005,-0.431552363978847,"Negative"
"Wyoming",3720000,0.00490935509286204,"FY23","CWSRF",1620845642,7957306.80729594,NA,0,"WY",3720000,-4237306.80729594,-0.532505144003096,"Negative"
"Alabama",8229000,0.0177,"FY24","DWSRF",1103833905,19537860.1185,"STAG—Drinking Water State Revolving Fund",14778752,"AL",23007752,3469891.8815,0.177598358287683,"Positive"
"Alaska",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",23200000,"AK",27861000,16822660.95,1.52402103919792,"Positive"
"Arizona",8153000,0.0175,"FY24","DWSRF",1103833905,19317093.3375,"STAG—Drinking Water State Revolving Fund",16948760,"AZ",25101760,5784666.6625,0.299458441362413,"Positive"
"Arkansas",5580000,0.012,"FY24","DWSRF",1103833905,13246006.86,"STAG—Drinking Water State Revolving Fund",1.3e+07,"AR",18580000,5333993.14,0.402686877364338,"Positive"
"California",50283000,0.1079,"FY24","DWSRF",1103833905,119103678.3495,"STAG—Drinking Water State Revolving Fund",55114604,"CA",105397604,-13706074.3495,-0.115076835068692,"Negative"
"Colorado",8164000,0.0175,"FY24","DWSRF",1103833905,19317093.3375,"STAG—Drinking Water State Revolving Fund",15024264,"CO",23188264,3871170.6625,0.20040130235251,"Positive"
"Connecticut",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",5159509,"CT",9820509,-1217830.05,-0.110327291495907,"Negative"
"Delaware",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,NA,0,"DE",4661000,-6377339.05,-0.577744443354456,"Negative"
"Florida",16819000,0.0361,"FY24","DWSRF",1103833905,39848403.9705,"STAG—Drinking Water State Revolving Fund",15615452,"FL",32434452,-7413951.9705,-0.186053925170719,"Negative"
"Georgia",12637000,0.0271,"FY24","DWSRF",1103833905,29913898.8255,"STAG—Drinking Water State Revolving Fund",8992781,"GA",21629781,-8284117.8255,-0.276932066723387,"Negative"
"Hawaii",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",6805302,"HI",11466302,427962.949999999,0.0387705929362624,"Positive"
"Idaho",4661000,0.01,"FY24","DWSRF",1103833905,11038339.05,"STAG—Drinking Water State Revolving Fund",5500000,"ID",10161000,-877339.050000001,-0.0794810746459179,"Negative"
