"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"600","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Dumont for Sewer Integrity Support Project","1043120","","H","Gottheimer"
"601","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Fair Lawn for Sewer Pipeline Rehabilitation","1092000","","H","Gottheimer"
"602","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Fort Lee for Sewer Improvements","184000","","H","Gottheimer"
"603","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Palisades Park for Grand Avenue Sewer Main Replacement Project","1e+06","","H","Gottheimer"
"604","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Sussex County Municipal Utilities Authority for Wastewater Treatment Project","1092000","","H","Gottheimer"
"605","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Washington for Stream Restoration Project","6e+05","","H","Gottheimer"
"606","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Dos Palos for Wastewater Treatment Facility Project","1092000","","H","Gray"
"607","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Coalinga for Sodium Hydroxide Storage and Injection Facility Project","1092000","","H","Gray"
"608","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Missouri City for Well Capacity Expansion Project","1092000","","H","Green"
"609","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Walker County Water and Sewerage Authority for Water Infrastructure Improvements","7e+05","","H","Greene"
"610","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","Whitfield County for Sewer System Expansion","650000","","H","Greene"
"611","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Floyd County for Well Design and Construction Project","650000","","H","Greene"
"612","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","Paulding County Board of Commissioners for Wastewater Reroute Project","750000","","H","Greene"
"613","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Bedford Regional Water Authority for Sanitary Sewer System Replacement","750000","","H","Griffith"
"614","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MS","Town of Sanderville for Water Infrastructure Improvements","2080000","","H","Guest"
"615","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MS","City of Meridian for Water Storage Facility Project","1500000","","H","Guest"
"616","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","City of Starkville for Wastewater Treatment Plant Improvements","1500000","","H","Guest"
"617","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MS","City of Brandon for Water Storage Tank Project","1250000","","H","Guest"
"618","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","City of Vine Grove for Water Line Improvements","817491","","H","Guthrie"
"619","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Greenville for Wastewater Treatment Plant Rehabilitation","854400","","H","Guthrie"
"620","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","City of Auburn for Water Line Replacement","656000","","H","Guthrie"
"621","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Louisville and Jefferson County Metropolitan Sewer District for Wastewater Collection System Rehabilitation","750000","","H","Guthrie"
"622","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WY","City of Casper for Sanitary Sewer Project","1750000","","H","Hageman"
"623","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WY","Northern Arapaho Tribe for Wastewater System Improvement Project","1e+06","","H","Hageman"
"624","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WY","City of Mills for Water Distribution Upgrades","1e+06","","H","Hageman"
"625","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WY","Town of Jackson for Sewer Infrastructure Improvements","1e+06","","H","Hageman"
"626","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Escalon for SSJID Surface Water Connection Project","1092000","","H","Harder"
"627","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of West Melbourne for Reverse Osmosis Water Production Facility","1250000","","H","Haridopolos"
"628","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Space Florida for Wastewater Treatment Plant Expansion","8e+05","","H","Haridopolos"
"629","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Brevard County for Sewer Expansion","8e+05","","H","Haridopolos"
"630","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Cocoa for Septic-to-Sewer Conversion Project","1250000","","H","Haridopolos"
"631","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Brevard County for Water Quality Improvement Project","1e+06","","H","Haridopolos"
"632","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Palm Bay for Water Quality Improvement Projects","1800000","","H","Haridopolos"
"633","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Brevard County for Stormwater Drainage Improvements Phase IV","1e+06","","H","Haridopolos"
"634","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Lincoln County for Transmission Line Project","2e+06","","H","Harrigan"
"635","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","City of Aberdeen for Water Infrastructure Upgrades","2e+06","","H","Harris (MD)"
"636","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","Worcester County for Water Treatment Plant Replacement","2550000","","H","Harris (MD)"
"637","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","Town of North East for Pump Station Project","1950000","","H","Harris (MD)"
"638","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","City of Elizabethton for Water Main Extension","828576","","H","Harshbarger"
"639","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Town of Mosheim for Wastewater Treatment Plant Upgrades","750000","","H","Harshbarger"
"640","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","Bloomingdale Utility District for Water Treatment Plant Improvements","8e+05","","H","Harshbarger"
"641","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","City of Torrington for Toro Field Siphon Abandonment and Sewer Replacement Technology","1092000","","H","Hayes"
"642","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","LA","Lafayette Consolidated Government for Water Line Replacement","1e+06","","H","Higgins"
"643","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","LA","Jefferson Davis Parish for Rural Water District Improvements","750000","","H","Higgins"
"644","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of New Iberia for Pump Station Construction","750000","","H","Higgins"
"645","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","City of Stamford for Stormwater Management Improvements","1092000","","H","Himes"
"646","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of New Canaan for Wastewater Treatment UV System Replacement","1092000","","H","Himes"
"647","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Trumbull for Beardsley Pump Station and Force Main Replacement","1092000","","H","Himes"
"648","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Dubuque for Water Improvement Project","2e+06","","H","Hinson"
"649","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Independence for Wastewater Treatment Plant Modernization","2e+06","","H","Hinson"
"650","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Dyersville for Westlinden Lift Station Project","1200000","","H","Hinson"
"651","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","City of North Las Vegas for Losee Wash Diversion Project","1092000","","H","Horsford"
"652","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","Clark County Water Reclamation District for Wastewater Treatment Facility Project","1092000","","H","Horsford"
"653","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Las Vegas Valley Water District for Kyle Canyon Discharge Line Project","1092000","","H","Horsford"
"654","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Moapa Valley Water District for Water Transmission Line Project","1092000","","H","Horsford"
"655","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Virgin Valley Water District for Main Transmission Line Replacement","1092000","","H","Horsford"
"656","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","Brown County Regional Sewer District for Wastewater Treatment Plant Project","3700000","","H","Houchin"
"657","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","City of Bloomington Utilities for Water Treatment Plant Project","1250000","","H","Houchin"
"658","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","City of Madison for Stormwater Management Project","1e+06","","H","Houchin"
"659","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Indian Head for Anchor Point Booster Station Wellhouse Design and Construction Project","1092000","","H","Hoyer"
"660","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Indian Head for Mattawoman Woods and Dogwood Lift Station Project","8e+05","","H","Hoyer"
"661","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","City of Bowie for Drinking Water Pipe Replacement Project","1092000","","H","Hoyer"
"662","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Cypress Creek Regional Stormwater Detention Basin","1e+06","","H","Hunt"
"663","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Schiel Road Stormwater Detention Basin","1e+06","","H","Hunt"
"664","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Jersey Village for Water Improvement Project","1e+06","","H","Hunt"
"665","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Pueblo County for Drinking Water Infrastructure Improvements","1e+06","","H","Hurd"
"666","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Norwood Water Commission for Water Line Project","1250000","","H","Hurd"
"667","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of De Beque for Secondary Water Source Project","320000","","H","Hurd"
"668","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Fallbrook Public Utility District for Water Line Replacement","1e+06","","H","Issa"
"669","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Poway for Water Supply Project","1e+06","","H","Issa"
"670","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Eastern Municipal Water District for Sewer Infrastructure Project","1e+06","","H","Issa"
"671","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Padre Dam Municipal Water District for Water Purification Project","1e+06","","H","Issa"
"672","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Borrego Water District for Water Line Replacement","750000","","H","Issa"
"673","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Rancho California Water District for Water Treatment Facility Construction","1e+06","","H","Issa"
"674","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Washington Suburban Sanitary Commission for Sewer Rehabilitation","1092000","","H","Ivey"
"675","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Amarillo for Wastewater Treatment Plant Project","1750000","","H","Jackson (TX)"
"676","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Runaway Bay for Wastewater Infrastructure Improvements","1e+06","","H","Jackson (TX)"
"677","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","Red River Authority of Texas for Foard County Water System Project","768000","","H","Jackson (TX)"
"678","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","Red River Authority of Texas for Truscott Gilliland Water System Project","896000","","H","Jackson (TX)"
"679","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Southwest Suburban Sewer District for Sewer Rehabilitation Project Phase 1","1092000","","H","Jayapal"
"680","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","DeKalb County for Lithonia Booster Pump Station Standby Power Project","726625","","H","Johnson (GA)"
"681","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","DeKalb County for Water Storage Tank Fill Valve Replacement Project","561150","","H","Johnson (GA)"
"682","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Farmers Branch for Waterline Replacement Project","1092000","","H","Johnson (TX)"
"683","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Ravenna Township for Wastewater Collection System","2e+06","","H","Joyce (OH)"
"684","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Ashtabula County for Water Infrastructure Extension","1488000","","H","Joyce (OH)"
"685","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Andover for Water Tower Rehabilitation","1e+06","","H","Joyce (OH)"
"686","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Kirtland for Sanitary Sewer Extension","2e+06","","H","Joyce (OH)"
"687","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Chardon for Water Tank Upgrade","1280000","","H","Joyce (OH)"
"688","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Fairport Harbor Village for Water System Upgrade","929600","","H","Joyce (OH)"
"689","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Guilford Township Municipal Authority for Sewer Improvement Project","2e+06","","H","Joyce (PA)"
"690","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Fairfield Municipal Authority for Sanitary Sewer Rehabilitation","1e+06","","H","Joyce (PA)"
"691","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Defiance for Water Distribution Upgrades","960000","","H","Kaptur"
"692","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Mount Arlington for Stormwater Improvement Project","560000","","H","Kean"
"693","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Hopatcong for Lead Service Line Replacement","1e+06","","H","Kean"
"694","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Sparta Township for Pump Station Improvements","4e+05","","H","Kean"
"695","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Rockland for Wastewater Treatment Plant and Collection System Upgrades","1092000","","H","Keating"
"696","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Wareham for Sewer Improvements Phase 2","1092000","","H","Keating"
"697","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Westport for Trunk Water and Sewer—Sections 2 and 3","1092000","","H","Keating"
"698","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Southland Water Agency for Water Intake Pipe Project","1092000","","H","Kelly (IL)"
"699","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","City of Oxford for Water Infrastructure Improvements","1e+06","","H","Kelly (MS)"
"700","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Hermitage Municipal Authority for Sewer Upgrades","913600","","H","Kelly (PA)"
"701","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Cranberry Township for Water Line Replacement","1e+06","","H","Kelly (PA)"
"702","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","City of Meadville for Force Main Replacement","750000","","H","Kelly (PA)"
"703","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Chicora Borough Water Department for Water Plant Improvement Project","1250000","","H","Kelly (PA)"
"704","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Buffalo Sewer Authority for Lead Service Line Replacement Project","1092000","","H","Kennedy (NY)"
"705","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Erie County Water Authority for Lead Service Line Replacement Program","1092000","","H","Kennedy (NY)"
"706","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Grand Island for Water Treatment Plant Filter Upgrades","1092000","","H","Kennedy (NY)"
"707","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Tonawanda for Old Town Waterline Replacement","1092000","","H","Kennedy (NY)"
"708","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Draper City Waterline Transmission and Distribution Upgrades","2e+06","","H","Kennedy (UT)"
"709","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Jose for Restoration Project","1092000","","H","Khanna"
"710","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Sunnyvale for Cleanwater Center Project","1092000","","H","Khanna"
"711","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Santa Clara Valley Water District for Silicon Valley Regional Purified Water Facility","1092000","","H","Khanna"
"712","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Suffolk for Sanitary Sewer Improvements","1250000","","H","Kiggans"
"713","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Virginia Beach for Stormwater Storage Project","1e+06","","H","Kiggans"
"714","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Suffolk for Sanitary Sewer Relocation Project","1e+06","","H","Kiggans"
"715","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Hampton Roads Sanitation District for Onancock Pump Station Project","750000","","H","Kiggans"
"716","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Town of Parksley for Water Storage Improvement Project","750000","","H","Kiggans"
"717","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","South Tahoe Public Utility District for Water Improvement Project","1200000","","H","Kiley"
"718","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Tahoe City Public Utility District for Water Infrastructure Improvement Project","1250000","","H","Kiley"
"719","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Orange County Water District for PFAS Treatment Project","750000","","H","Kim"
"720","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Santa Margarita Water District for Water Treatment Plant","750000","","H","Kim"
"721","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","DuPage County for Newton & Second Ave Flood Reduction Project","240000","","H","Krishnamoorthi"
"722","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Fox River Water Reclamation District for Influent Bar Screen Installation Project","1092000","","H","Krishnamoorthi"
"723","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","DuPage Water Commission for Regional Source Water Project Stage 1","1e+06","","H","Krishnamoorthi"
"724","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Elk Grove for Water Main Lining Project","1092000","","H","Krishnamoorthi"
"725","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Town of Arlington for Wastewater Treatment Plant Expansion","1e+06","","H","Kustoff"
"726","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","City of Bartlett for Sewer Equalization Tank Installation","1e+06","","H","Kustoff"
"727","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Jackson Energy Authority for Water and Wastewater Extension Project","750000","","H","Kustoff"
"728","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","City of Henderson for Water Main Replacement Project","750000","","H","Kustoff"
"729","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","City of Selmer for Sewer System Upgrade","750000","","H","Kustoff"
"730","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Dixon for Flooding Mediation Project","2e+06","","H","LaHood"
"731","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of South Beloit for Lift Station and Force Main Improvements Project","750000","","H","LaHood"
"732","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Riverhead for Water Service Expansion","2250000","","H","LaLota"
"733","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Smithtown for Water Service Expansion","1086400","","H","LaLota"
"734","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Brookhaven for Water Infrastructure Improvements","1250000","","H","LaLota"
"735","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Suffolk County for Outfall Pipe Replacement","1e+06","","H","LaLota"
"736","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Suffolk County for Wastewater Treatment Plant Improvements","1e+06","","H","LaLota"
"737","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Williams for Water Infrastructure Improvements","1e+06","","H","LaMalfa"
"738","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","City of Corning for Wastewater Treatment Plant Boiler Replacement","984000","","H","Langworthy"
"739","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Allegany County for Water System Improvements","1250000","","H","Langworthy"
"740","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","City of Jamestown for Stormwater Channel Maintenance","1250000","","H","Langworthy"
"741","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Olean for Water Filtration Plant Exterior Wall Reconstruction","1e+06","","H","Langworthy"
"742","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Ellicott for Water Service Extension","1e+06","","H","Langworthy"
"743","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Elma for Consolidated Wastewater Treatment Plant","1e+06","","H","Langworthy"
"744","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Randolph for Sanitary Sewer System Improvements","1e+06","","H","Langworthy"
"745","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Dix for Water and Sewer Service Extension","1e+06","","H","Langworthy"
"746","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CT","Southington Water Department for Wells 9 and 10 PFAS Treatment","1092000","","H","Larson"
"747","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Bronxville for Stormwater Drainage Improvement","1092000","","H","Latimer"
"748","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Hastings-on-Hudson for Stormwater Management Project","1092000","","H","Latimer"
"749","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Yonkers for Water Main Replacement Under I–87","1092000","","H","Latimer"
"750","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Elyria for Sewer Extension Project","2e+06","","H","Latta"
"751","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Pleasantville for Water Tank Improvements","2250000","","H","Lawler"
"752","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Carmel for Water Plant Improvements","1250000","","H","Lawler"
"753","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Yorktown for Sewer Service Expansion","1250000","","H","Lawler"
"754","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of North Salem for Sewer Installation","1250000","","H","Lawler"
"755","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Sleepy Hollow for Water Main Lining Project","983200","","H","Lawler"
"756","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Ossining for Water Distribution System Upgrades","1e+06","","H","Lawler"
"757","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Pasco County for Booster Station Project","1e+06","","H","Lee (FL)"
"758","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Hillsborough County for Water Infrastructure Assessment","5e+05","","H","Lee (FL)"
"759","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Lakeland for Water Treatment Plant Upgrades","8e+05","","H","Lee (FL)"
"760","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","Clark County Water Reclamation District for Laughlin Lift Station No. 2 Replacement","1092000","","H","Lee (NV)"
"761","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Municipality of Bethel Park for Piney Fork Interceptor Lining Project","520000","","H","Lee (PA)"
"762","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Monroeville Municipal Authority for Transite Water Line Replacements","1092000","","H","Lee (PA)"
"763","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Baton Rouge for Stormwater Quality Improvement Project","2e+06","","H","Letlow"
"764","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","Town of Amite City for Regional Wastewater Treatment and Transmission Facilities Project","2e+06","","H","Letlow"
"765","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Montara Water and Sanitary District for Water and Sewer Line Relocation Project","1092000","","H","Liccardo"
"766","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Beverly Hills for Water Main Replacement Project","1092000","","H","Lieu"
"767","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Manhattan Beach for Cybersecurity of Critical Infrastructure Project","1040000","","H","Lieu"
"768","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Watsonville for Pump Station Facilities Project","1092000","","H","Lofgren"
"769","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of San Juan Bautista for Drinking Water Supply Regionalization","1092000","","H","Lofgren"
"770","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","County of Monterey for San Lucas Water Treatment Project","1092000","","H","Lofgren"
"771","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Woodward for Wastewater Plant Upgrades","1150000","","H","Lucas"
"772","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Stillwater for Transmission Line Project","1e+06","","H","Lucas"
"773","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Guymon for Water System Improvements","1150000","","H","Lucas"
"774","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Enid for Solids Plant Relocation","850000","","H","Lucas"
"775","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Clearwater for Stormwater Improvement Project","1750000","","H","Luna"
"776","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Treasure Island for Wastewater Collection System Lining Project","1600000","","H","Luna"
"777","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Pinellas County Board of Commissioners for Pump Station Improvement Project","750000","","H","Luna"
"778","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for West Little York Stormwater Detention Basin Project","1250000","","H","Luttrell"
"779","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Stormwater Detention Basin Project","750000","","H","Luttrell"
"780","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","City of Cranston for Stormwater Management Project","1092000","","H","Magaziner"
"781","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Town of Westerly for Sewer Relining Project","680000","","H","Magaziner"
"782","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Big Plains Water Special Service District for Transmission Pipeline Project","2e+06","","H","Maloy"
"783","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","Salt Lake County for Central Valley Water Treatment Facility Upgrades","1e+06","","H","Maloy"
"784","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","Santa Clara City for Sewer Line Expansion","1250000","","H","Maloy"
"785","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Bountiful City for Water System Improvements","1750000","","H","Maloy"
"786","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","UT","Central Iron County Water Conservancy District for Effluent Reuse Project","1750000","","H","Maloy"
"787","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Verona for Durhamville Sewer District Project","1092000","","H","Mannion"
"788","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Elbridge for Water System Improvements Project","1092000","","H","Mannion"
"789","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Minoa for Wastewater Treatment Plant Improvements","565000","","H","Mannion"
"790","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Syracuse for Lead Service Line Replacements","1092000","","H","Mannion"
"791","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Onondaga County Water Authority for Lead Service Lines Replacement Project","1092000","","H","Mannion"
