"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"906","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","West Brookfield Water Department for Leland Road Water Treatment Project","1092000","","H","Neal"
"907","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Granby for Water Infrastructure Project","1092000","","H","Neguse"
"908","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Othello for Regional Water Supply Project","1e+06","","H","Newhouse"
"909","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","Town of Winthrop for Water Source and Distribution System Improvements","1500000","","H","Newhouse"
"910","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Oroville for Water System Improvement Project","1400000","","H","Newhouse"
"911","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Voorhees for Las Brisas Sewer Project","1092000","","H","Norcross"
"912","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Town of Maple Shade for Water Treatment Plant Replacement","1092000","","H","Norcross"
"913","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Winslow for W. Factory Rd Water Storage Tank Rehabilitation","880000","","H","Norcross"
"914","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Adelanto for Wastewater Treatment Plant Improvements","1e+06","","H","Obernolte"
"915","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of California City for Water System Replacement Project Phase II","1e+06","","H","Obernolte"
"916","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Loma Linda for SCADA System Reliability Project","750000","","H","Obernolte"
"917","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Hi-Desert Water District for Water Reuse Projects","750000","","H","Obernolte"
"918","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","San Bernardino County for Septic-to-Sewer Project","750000","","H","Obernolte"
"919","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of New Windsor for Sewer System Improvements","5e+05","","H","Olszewski"
"920","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","City of Westminster for Advanced Water Purification System Project Phase 3","1092000","","H","Olszewski"
"921","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of New Hope for Sanitary Sewer Lining Project","1092000","","H","Omar"
"922","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Spring Lake Park for Stormwater Resiliency Project","896000","","H","Omar"
"923","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Richfield for Emergency Water Interconnect Project","1092000","","H","Omar"
"924","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Granger-Hunter Improvement District for Water Main Replacement Project","1e+06","","H","Owens"
"925","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","City of Riverton for Waterline Replacement Project","750000","","H","Owens"
"926","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Murray City Corporation for Drinking Water Well","750000","","H","Owens"
"927","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","City of Bluffdale for Storage Tank Construction","750000","","H","Owens"
"928","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","City of Asbury Park for Wastewater Treatment Plant Screenings Project","1092000","","H","Pallone"
"929","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","City of Perth Amboy for Runyon Water Treatment Plant Improvements","1092000","","H","Pallone"
"930","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Matawan for Lead Pipes Removal","1e+06","","H","Pallone"
"931","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Red Bank for Lead Service Line Replacement Program","1e+06","","H","Pallone"
"932","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NH","City of Manchester for MS4 Drainage Improvements","1092000","","H","Pappas"
"933","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NH","City of Rochester for Wastewater Lagoon Desludge Phase II","1092000","","H","Pappas"
"934","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NH","Town of Newmarket for Sewer Reliability Improvements Project","1092000","","H","Pappas"
"935","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Vancouver for Wastewater Lagoon Aeration Blower Upgrade","1092000","","H","Perez"
"936","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Clark Regional Wastewater District for Wallace Heights Septic Elimination Project","1092000","","H","Perez"
"937","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Longview for Fill Line to Water Reservoir Project","1092000","","H","Perez"
"938","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Ridgefield for Kennedy Well Project","1092000","","H","Perez"
"939","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Coronado for Stormwater Mitigation Project","1092000","","H","Peters"
"940","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Diego for Famosa Slough Alley Slope Restoration Project","1092000","","H","Peters"
"941","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Diego for Pump Station Component D Upgrade","1092000","","H","Peters"
"942","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Arvada for North Trunk Wastewater Infrastructure Improvements","1092000","","H","Pettersen"
"943","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","Teller County for Wastewater Expansion Project","1092000","","H","Pettersen"
"944","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","Town of Alma for Wastewater Treatment Plant Improvements","1092000","","H","Pettersen"
"945","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Eden for Pump Station Replacement","3e+05","","H","Pfluger"
"946","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Clinton Water District for Railroad and Church Streets Utility Upgrades","1093276","","H","Pingree"
"947","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","North Berwick Sanitary District for Wastewater Treatment Facility and Pumping Stations Reliability Upgrades","1093276","","H","Pingree"
"948","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","South Berwick Sewer District for Wastewater Treatment Facility Resiliency Reliability and Nutrient Removal Optimization Upgrades","1093276","","H","Pingree"
"949","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of North Haven for Wastewater Treatment Upgrades","1093276","","H","Pingree"
"950","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Windham for Regional School Unit 14 Campus Wastewater Conveyance Project","1e+06","","H","Pingree"
"951","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WI","City of Mineral Point for Lead Service Line Replacement","1e+06","","H","Pocan"
"952","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Cliffside Park for Stormwater System Improvement Project","1092000","","H","Pou"
"953","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Edgewater for Stormwater Infrastructure Improvements Project","1092000","","H","Pou"
"954","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Hawthorne for Wastewater Management Project","1092000","","H","Pou"
"955","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","City of Cambridge for Water Ozone Generators Replacement Project","1092000","","H","Pressley"
"956","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Randolph for Water Standpipe Replacement","1092000","","H","Pressley"
"957","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Chicago Department of Transportation for Graceland West Green Alleys","1092000","","H","Quigley"
"958","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Barrington for Wastewater Treatment Plant Upgrade Project","1092000","","H","Quigley"
"959","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Arlington Heights for Lead Service Line Replacement Project","1092000","","H","Quigley"
"960","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","DuPage County for 3rd Avenue Storm Water Management Project","1092000","","H","Ramirez"
"961","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Kitsap County for Wastewater Treatment Plant Upgrade","1092000","","H","Randall"
"962","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","City of Rockville for Orangeburg Lateral Replacement Project","1092000","","H","Raskin"
"963","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","City of Rockville for Wastewater Collection System Rehabilitation","1092000","","H","Raskin"
"964","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Washington Suburban Sanitary Commission for Sewer Rehabilitation in Montgomery County Project","1092000","","H","Raskin"
"965","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","City of Rockville for Lead Service Line Inventory Investigation","5e+05","","H","Raskin"
"966","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Municipal Authority of Westmoreland County for Transmission Line Replacement","2250000","","H","Reschenthaler"
"967","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Ohiopyle Borough for Sewage Treatment Plant Expansion","937000","","H","Reschenthaler"
"968","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","North Fayette County Municipal Authority for Water Main Replacement Project","1750000","","H","Reschenthaler"
"969","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Greene County for Water Line Expansion","2250000","","H","Reschenthaler"
"970","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Bloomingburg for Wastewater Treatment Plant & Pump Station Upgrades","1092000","","H","Riley"
"971","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Pell City for Wastewater Treatment Plant Project","1e+06","","H","Rogers (AL)"
"972","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AL","Coosa Valley Water Supply District for Water Supply Expansion","1e+06","","H","Rogers (AL)"
"973","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Attalla for Sanitary Sewer Improvement Project","750000","","H","Rogers (AL)"
"974","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Auburn for Sewer Expansion Project","750000","","H","Rogers (AL)"
"975","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Raleigh for Rocky Branch Tributary Enhancement Project","1092000","","H","Ross"
"976","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of Cary for Walnut Creek Stabilization and Restoration Project","1092000","","H","Ross"
"977","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of White Lake for Sewer Improvements","2e+06","","H","Rouzer"
"978","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Columbus County for Water System Improvements","2e+06","","H","Rouzer"
"979","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Brunswick County Public Utilities for Water Line Extension","1e+06","","H","Rouzer"
"980","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Lower Cape Fear Water and Sewer Authority for Raw Water Pump Station","750000","","H","Rouzer"
"981","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Cape Fear Public Utility Authority for Raw Water Transmission Main Extension","750000","","H","Rouzer"
"982","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Coachella Valley Water District for North Cathedral City Regional Stormwater Project","1092000","","H","Ruiz"
"983","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Wellsville for Storage Tank Replacement","750000","","H","Rulli"
"984","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Struthers for Water Infrastructure Facility Upgrades","8e+05","","H","Rulli"
"985","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Dover for Sanitary Sewer Upgrades","6e+05","","H","Rulli"
"986","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Scio for Waterline Replacement Project","5e+05","","H","Rulli"
"987","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of St. Augustine Beach for Stormwater System and Outfall Resiliency Project","8e+05","","H","Rutherford"
"988","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Cornwall for Shore Road Sewer Treatment Plant Phase 2","1092000","","H","Ryan"
"989","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of New Paltz for Ohioville Sewer District #6 Sewer Treatment Plant Regionalization","1092000","","H","Ryan"
"990","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Middletown for Raw Water Line Replacement Phase 2","1092000","","H","Ryan"
