"","Agency","Account","State","...4","Amount","Requestor"
"116","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Rincon for Waterline Extension Project",1e+06,"Carter (GA)"
"117","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Kenner for Wastewater Treatment Plant Stabilization and Improvement Project",1092000,"Carter (LA)"
"118","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Westwego for Wastewater Treatment Plant Modernization Project",1092000,"Carter (LA)"
"119","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","St. Bernard Parish for Culvert Drainage Improvements Project",1092000,"Carter (LA)"
"120","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Georgetown for Waterline Upgrade Project",3500000,"Carter (TX)"
"121","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Marble Falls for Wastewater Line Replacement Project",2e+06,"Carter (TX)"
"122","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Gatesville for Storage Tank Replacement Project",775840,"Carter (TX)"
"123","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Hamilton for Service Line Replacement Project",2e+06,"Carter (TX)"
"124","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of San Marcos for Main Replacement Project",1092000,"Casar"
"125","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","HI","Department of Hawaiian Home Lands for Papakolea Sewer Improvement Project",1092000,"Case"
"126","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Palos Heights for 80th Ave Pump Station Upgrades",1092000,"Casten"
"127","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hillsborough County for Ruskin Septic-to-Sewer Project Phase 1",1092000,"Castor"
"128","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","San Antonio River Authority for Woodlawn Lake Storm Quality Improvements",80000,"Castro"
"129","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of North Lauderdale for Storm Water Culvert Replacements",750000,"Cherfilus-McCormick"
"130","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Lake Park for Final Septic To Sewer Conversion Project",1092000,"Cherfilus-McCormick"
"131","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Riviera Beach for Construction of Water Treatment Facilities",1092000,"Cherfilus-McCormick"
"132","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of Tamarac for Water Treatment Plant Project",1092000,"Cherfilus-McCormick"
"133","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Los Angeles County Department of Public Works for Public Sewer Enhancement Project",1092000,"Chu"
"134","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Tombstone for Water Reclamation Facility Upgrades",989786,"Ciscomani"
"135","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","Town of Marana for Source Water System Improvements",2250000,"Ciscomani"
"136","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","Town of Marana for PFAS Treatment Project",1750000,"Ciscomani"
"137","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","Graham County for Water Line Project",1200000,"Ciscomani"
"138","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","San Gabriel River Watershed Management Authority for Stormwater Capture Project",1092000,"Cisneros"
"139","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","City of Melrose for Stormwater Improvement Project",852500,"Clark"
"140","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Arlington for Mystic River Watershed Infrastructure Project",1092000,"Clark"
"141","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","City of Woburn for Horn Pond Plant PFAS Removal Project",1092000,"Clark"
"142","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Natick for PFAS Removal Project",1036000,"Clark"
"143","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","County of Orangeburg for Wastewater Treatment Plant Expansion",1092000,"Clyburn"
"144","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","Moore Public Works Authority for Water Transmission Line Construction",5e+06,"Cole"
"145","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Paducah McCracken County Joint Sewer Agency for Wastewater Treatment Plant Upgrades",1750000,"Comer"
"146","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Madisonville for Lift Station Improvement Project",1e+06,"Comer"
"147","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Eddyville for Wastewater Treatment Plant Construction Project",1e+06,"Comer"
"148","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Henderson Water Utility for Raw Water Intake and Pipeline Project",1e+06,"Comer"
"149","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Adairville for Wastewater Treatment Plant Improvement",750000,"Comer"
"150","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Franklin County Fiscal Court for Wastewater Improvement Project",750000,"Comer"
"151","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","South Hopkins Water District for Waterline and Building Project",750000,"Comer"
"152","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Burlington for Sludge Dewatering Project Phase 2",1092000,"Conaway"
"153","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Freehold for Water Tower Tanks Refurbishment Project",1092000,"Conaway"
"154","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Township of Freehold for Water Main Replacements",1092000,"Conaway"
"155","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Willingboro Municipal Utilities Authority for PFOS/PFOA Water Treatment Plant Upgrade Project",1092000,"Conaway"
"156","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Santa Ana for PFAS Treatment",1092000,"Correa"
"157","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Woodlake for Storm Drain Enhancement Project",1092000,"Costa"
"158","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Dinuba for Water Tower Replacement",1092000,"Costa"
"159","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Killingly for Water Pollution Control Facility Upgrades",1e+06,"Courtney"
"160","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Newport for Inflow and Infiltration Mitigation Project",1092000,"Craig"
"161","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Hastings for PFAS and Nitrates Treatment Project",1092000,"Craig"
"162","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Newport Municipal Utility District for Sewer System Rehabilitation",750000,"Crenshaw"
"163","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Woodridge Stormwater Detention Basin Construction Project",1e+06,"Crenshaw"
"164","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","The City of Woodbranch Village for Water and Wastewater Project",1e+06,"Crenshaw"
"165","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Montgomery County Municipal Utility District 84 for Bentwood Drainage Channel Improvement Project Phase II",1e+06,"Crenshaw"
"166","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Kuykendahl Stormwater Detention Basin Project",750000,"Crenshaw"
"167","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Montgomery County Precinct 4 for Drainage Improvements",750000,"Crenshaw"
"168","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Glenn Height for Wastewater Treatment Project",1092000,"Crockett"
"169","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Grand Prairie for Waterford Lift Station Project",1092000,"Crockett"
"170","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Glenn Heights for Citywide Infiltration and Inflow Study Project",325000,"Crockett"
"171","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KS","City of Bonner Springs for Lonestar Interceptor Sanitary Sewer Project",1092000,"Davids"
"172","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KS","City of Olathe for Olathe Basin C16 Sanitary Sewer Rehabilitation Improvement",884466,"Davids"
"173","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KS","City of Princeton for Stormwater Improvements",610680,"Davids"
"174","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Oak Park for Relief Sewer Project",1092000,"Davis (IL)"
"175","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Bellwood for Water Infrastructure Improvement Project",1092000,"Davis (IL)"
"176","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Forest Park for Water System Improvements",1092000,"Davis (IL)"
"177","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Hillside for Drinking Water Improvement Project",1092000,"Davis (IL)"
"178","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Maywood for Water Main Improvements",1092000,"Davis (IL)"
"179","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of North Riverside for Water Main Improvement Project",1092000,"Davis (IL)"
"180","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of River Forest for Drinking Water Improvement Project",1092000,"Davis (IL)"
"181","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Northampton County Government for the Town of Garysburg Wastewater Infrastructure Rehabilitation",1092000,"Davis (NC)"
"182","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of Sharpsburg for Sewer Infrastructure Rehabilitation",1092000,"Davis (NC)"
"183","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of Tarboro for Wastewater Treatment Plant Denitrification Upgrade",1092000,"Davis (NC)"
"184","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Hertford County for Water System Improvements",1092000,"Davis (NC)"
"185","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of McAllen for Remote Groundwater Well",1e+06,"De La Cruz"
"186","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Edinburg for Water Treatment Plant Project",750000,"De La Cruz"
"187","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Upper Merion Township for Water Pollution Control Center Hydrothermal Carbonization Equipment",1092000,"Dean"
"188","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Upper Providence Township for Second Avenue Force Main and Gravity Main Replacement Project",1092000,"Dean"
"189","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","West Norriton Township for Rittenhouse Pump Station Force Main Replacement Project",1092000,"Dean"
"190","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Naugatuck Valley Council of Governments for Kinneytown Dam Sewer Relocation",1093276,"DeLauro"
