"","Agency","Account","State","...4","Amount","Requestor"
"254","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Ridgecrest for Wastewater Treatment Plant",1e+06,"Fong"
"255","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Lemoore for Water Meter Project",1e+06,"Fong"
"256","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Crystal Lake for Lead Service Line Replacement",1092000,"Foster"
"257","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Naperville for Springbrook Water Reclamation Center Expansion",1092000,"Foster"
"258","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Northern Moraine Wastewater Reclamation District for Darrell Road Collection System",1092000,"Foster"
"259","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Northern Moraine Wastewater Reclamation District for Village of Holiday Hills Sanitary Sewer Extension Project",1092000,"Foster"
"260","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Wauconda for Lead Service Line Replacement Phase 1",1092000,"Foster"
"261","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Aurora for Lead Service Line Replacement Project",1092000,"Foster / Underwood"
"262","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Mebane for GE Pump Station and Force Main Improvement Project",1092000,"Foushee"
"263","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Durham County for Page Park Lift Station Improvements",1092000,"Foushee"
"264","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Orange Water and Sewer Authority for Clearwell Replacement Project",1092000,"Foushee"
"265","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Orange Water and Sewer Authority for PFAS Treatment Facility Project",1092000,"Foushee"
"266","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Fuquay-Varina for Water Storage Tank Project",1092000,"Foushee"
"267","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Town of Holly Springs for Harnett Regional Water Improvement Project",1092000,"Foushee"
"268","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Boynton Beach for Sanitary Sewer Collection System Improvement Project",8e+05,"Frankel"
"269","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Town of Lantana for Water Treatment Plant Upgrades",1092000,"Frankel"
"270","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","DeSoto County for Wastewater Treatment Facility Expansion",1500000,"Franklin"
"271","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Lake Placid for Septic-to-Sewer Project",2500000,"Franklin"
"272","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Town of Lake Hamilton for Wastewater Treatment Improvements",1500000,"Franklin"
"273","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Auburndale for Sewer Infrastructure Improvements",2500000,"Franklin"
"274","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Bartow for Sewer Lining Project",1250000,"Franklin"
"275","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Polk County for Water Supply Project",2500000,"Franklin"
"276","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Lakeland for Sewer Main Replacement Project",1250000,"Franklin"
"277","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Burbank for Potable Reservoir Replacement",1092000,"Friedman"
"278","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Pasadena for Water and Wastewater System Replacement",1092000,"Friedman"
"279","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Orlando for Stormwater Management Project",8e+05,"Frost"
"280","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Orange County Utilities Department for Aquifer Storage and Injection Feasibility Project",1092000,"Frost"
"281","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","SC","City of Florence for Water Treatment Facility Expansion",2250000,"Fry"
"282","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","SC","Town of Pawleys Island for Stormwater Improvement Project",1e+06,"Fry"
"283","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Contra Costa Sanitary District for Central Sanitation Air Diffuser System Upgrade",1092000,"Garamendi"
"284","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Delta Diablo for Wastewater Pipeline Replacement",1e+06,"Garamendi"
"285","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Vallejo Flood and Wastewater District for Mare Island Sewer Rehabilitation",1092000,"Garamendi"
"286","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Village of Amityville for Sewer Pump Project",8e+05,"Garbarino"
"287","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Nassau County for Outfall Diffuser Project",1e+06,"Garbarino"
"288","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Brookhaven for Sanitary Sewer Infrastructure Project",1e+06,"Garbarino"
"289","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","County of Suffolk for West Babylon Sewer Expansion Project",1e+06,"Garbarino"
"290","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","County of Suffolk for Wise County Sewer Expansion Project",1e+06,"Garbarino"
"291","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Hinsdale for Sixth Street Reconstruction and Utility Project",1092000,"Garcia (IL)"
"292","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Leyden Township for Water Main and Lead Service Line Replacement Project",1092000,"Garcia (IL)"
"293","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Town of Cicero for South Side Water Pumping Station Improvement",1092000,"Garcia (IL)"
"294","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Berkeley for Section 2 Lead Service Line Replacement Project",1024207,"Garcia (IL)"
"295","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Melrose Park for Winston Park Water Main Improvements",1092000,"Garcia (IL)"
"296","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Pollution Control Services for Satellite Location",1e+06,"Garcia (TX)"
"297","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","Jacinto City for Safe Drinking Water Project",1092000,"Garcia (TX)"
"298","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Wise County Water Control and Improvement District 1 for Regional Wastewater Study",240000,"Gill"
"299","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","Wise County Water Control and Improvement District 1 for Water Supply Study",1300000,"Gill"
"300","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","City of Long Beach for Sand Filter Tank Replacement",1092000,"Gillen"
"301","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Hempstead for Water Treatment Upgrades",1092000,"Gillen"
"302","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Florida Keys Aqueduct Authority for Water Transmission Improvement Project",750000,"Gimenez"
"303","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","ME","Town of Wilton for Water Main System Upgrade",1092000,"Golden"
"304","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Somerset for Wastewater System Expansion",1250000,"Gonzales"
"305","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","Uvalde County for New Wells Project",1250000,"Gonzales"
"306","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of San Benito for Storage Tank at San Benito Water Treatment Plant No. 2 Phase 2",1092000,"Gonzalez"
"307","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","North Alamo Water Supply Corporation for Water Distribution Improvement Project",1e+06,"Gonzalez"
"308","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Kaufman for Wastewater Treatment Plant Upgrades",1e+06,"Gooden"
"309","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NH","Town of Newport for Water Distribution System Replacement Project",640000,"Goodlander"
"310","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Cresskill for Tenakill Brook Watershed Clean Water Initiative",1092000,"Gottheimer"
"311","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Dumont for Sewer Integrity Support Project",1043120,"Gottheimer"
"312","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Fair Lawn for Sewer Pipeline Rehabilitation",1092000,"Gottheimer"
"313","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Fort Lee for Sewer Improvements",184000,"Gottheimer"
"314","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Palisades Park for Grand Avenue Sewer Main Replacement Project",1e+06,"Gottheimer"
"315","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Sussex County Municipal Utilities Authority for Wastewater Treatment Project",1092000,"Gottheimer"
"316","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of Washington for Stream Restoration Project",6e+05,"Gottheimer"
"317","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Dos Palos for Wastewater Treatment Facility Project",1092000,"Gray"
"318","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Coalinga for Sodium Hydroxide Storage and Injection Facility Project",1092000,"Gray"
"319","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Missouri City for Well Capacity Expansion Project",1092000,"Green"
"320","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Walker County Water and Sewerage Authority for Water Infrastructure Improvements",7e+05,"Greene"
"321","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","Whitfield County for Sewer System Expansion",650000,"Greene"
"322","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Floyd County for Well Design and Construction Project",650000,"Greene"
"323","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","Paulding County Board of Commissioners for Wastewater Reroute Project",750000,"Greene"
"324","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Bedford Regional Water Authority for Sanitary Sewer System Replacement",750000,"Griffith"
"325","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MS","Town of Sanderville for Water Infrastructure Improvements",2080000,"Guest"
"326","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MS","City of Meridian for Water Storage Facility Project",1500000,"Guest"
"327","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","City of Starkville for Wastewater Treatment Plant Improvements",1500000,"Guest"
"328","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MS","City of Brandon for Water Storage Tank Project",1250000,"Guest"
"329","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","City of Vine Grove for Water Line Improvements",817491,"Guthrie"
"330","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Greenville for Wastewater Treatment Plant Rehabilitation",854400,"Guthrie"
"331","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","City of Auburn for Water Line Replacement",656000,"Guthrie"
"332","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Louisville and Jefferson County Metropolitan Sewer District for Wastewater Collection System Rehabilitation",750000,"Guthrie"
"333","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WY","City of Casper for Sanitary Sewer Project",1750000,"Hageman"
"334","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WY","Northern Arapaho Tribe for Wastewater System Improvement Project",1e+06,"Hageman"
"335","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WY","City of Mills for Water Distribution Upgrades",1e+06,"Hageman"
"336","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WY","Town of Jackson for Sewer Infrastructure Improvements",1e+06,"Hageman"
"337","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Escalon for SSJID Surface Water Connection Project",1092000,"Harder"
"338","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","City of West Melbourne for Reverse Osmosis Water Production Facility",1250000,"Haridopolos"
"339","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Space Florida for Wastewater Treatment Plant Expansion",8e+05,"Haridopolos"
"340","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Brevard County for Sewer Expansion",8e+05,"Haridopolos"
"341","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Cocoa for Septic-to-Sewer Conversion Project",1250000,"Haridopolos"
"342","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Brevard County for Water Quality Improvement Project",1e+06,"Haridopolos"
"343","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Palm Bay for Water Quality Improvement Projects",1800000,"Haridopolos"
"344","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Brevard County for Stormwater Drainage Improvements Phase IV",1e+06,"Haridopolos"
"345","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NC","Lincoln County for Transmission Line Project",2e+06,"Harrigan"
"346","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","City of Aberdeen for Water Infrastructure Upgrades",2e+06,"Harris (MD)"
"347","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","Worcester County for Water Treatment Plant Replacement",2550000,"Harris (MD)"
"348","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","Town of North East for Pump Station Project",1950000,"Harris (MD)"
"349","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","City of Elizabethton for Water Main Extension",828576,"Harshbarger"
"350","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Town of Mosheim for Wastewater Treatment Plant Upgrades",750000,"Harshbarger"
"351","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","Bloomingdale Utility District for Water Treatment Plant Improvements",8e+05,"Harshbarger"
"352","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","City of Torrington for Toro Field Siphon Abandonment and Sewer Replacement Technology",1092000,"Hayes"
"353","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","LA","Lafayette Consolidated Government for Water Line Replacement",1e+06,"Higgins"
"354","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","LA","Jefferson Davis Parish for Rural Water District Improvements",750000,"Higgins"
"355","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of New Iberia for Pump Station Construction",750000,"Higgins"
"356","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","City of Stamford for Stormwater Management Improvements",1092000,"Himes"
"357","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of New Canaan for Wastewater Treatment UV System Replacement",1092000,"Himes"
"358","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CT","Town of Trumbull for Beardsley Pump Station and Force Main Replacement",1092000,"Himes"
"359","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Dubuque for Water Improvement Project",2e+06,"Hinson"
"360","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Independence for Wastewater Treatment Plant Modernization",2e+06,"Hinson"
"361","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IA","City of Dyersville for Westlinden Lift Station Project",1200000,"Hinson"
"362","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","City of North Las Vegas for Losee Wash Diversion Project",1092000,"Horsford"
"363","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","Clark County Water Reclamation District for Wastewater Treatment Facility Project",1092000,"Horsford"
"364","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Las Vegas Valley Water District for Kyle Canyon Discharge Line Project",1092000,"Horsford"
"365","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Moapa Valley Water District for Water Transmission Line Project",1092000,"Horsford"
"366","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Virgin Valley Water District for Main Transmission Line Replacement",1092000,"Horsford"
"367","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","Brown County Regional Sewer District for Wastewater Treatment Plant Project",3700000,"Houchin"
"368","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","City of Bloomington Utilities for Water Treatment Plant Project",1250000,"Houchin"
"369","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","City of Madison for Stormwater Management Project",1e+06,"Houchin"
"370","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Indian Head for Anchor Point Booster Station Wellhouse Design and Construction Project",1092000,"Hoyer"
"371","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Indian Head for Mattawoman Woods and Dogwood Lift Station Project",8e+05,"Hoyer"
"372","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MD","City of Bowie for Drinking Water Pipe Replacement Project",1092000,"Hoyer"
"373","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Cypress Creek Regional Stormwater Detention Basin",1e+06,"Hunt"
"374","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","Harris County Flood Control District for Schiel Road Stormwater Detention Basin",1e+06,"Hunt"
"375","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Jersey Village for Water Improvement Project",1e+06,"Hunt"
"376","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Pueblo County for Drinking Water Infrastructure Improvements",1e+06,"Hurd"
"377","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Norwood Water Commission for Water Line Project",1250000,"Hurd"
"378","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of De Beque for Secondary Water Source Project",320000,"Hurd"
"379","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Fallbrook Public Utility District for Water Line Replacement",1e+06,"Issa"
"380","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Poway for Water Supply Project",1e+06,"Issa"
"381","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Eastern Municipal Water District for Sewer Infrastructure Project",1e+06,"Issa"
"382","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Padre Dam Municipal Water District for Water Purification Project",1e+06,"Issa"
"383","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Borrego Water District for Water Line Replacement",750000,"Issa"
"384","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Rancho California Water District for Water Treatment Facility Construction",1e+06,"Issa"
"385","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Washington Suburban Sanitary Commission for Sewer Rehabilitation",1092000,"Ivey"
"386","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Amarillo for Wastewater Treatment Plant Project",1750000,"Jackson (TX)"
"387","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Runaway Bay for Wastewater Infrastructure Improvements",1e+06,"Jackson (TX)"
"388","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","Red River Authority of Texas for Foard County Water System Project",768000,"Jackson (TX)"
"389","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","Red River Authority of Texas for Truscott Gilliland Water System Project",896000,"Jackson (TX)"
"390","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","Southwest Suburban Sewer District for Sewer Rehabilitation Project Phase 1",1092000,"Jayapal"
"391","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","DeKalb County for Lithonia Booster Pump Station Standby Power Project",726625,"Johnson (GA)"
"392","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","DeKalb County for Water Storage Tank Fill Valve Replacement Project",561150,"Johnson (GA)"
"393","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Farmers Branch for Waterline Replacement Project",1092000,"Johnson (TX)"
"394","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Ravenna Township for Wastewater Collection System",2e+06,"Joyce (OH)"
"395","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Ashtabula County for Water Infrastructure Extension",1488000,"Joyce (OH)"
"396","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Andover for Water Tower Rehabilitation",1e+06,"Joyce (OH)"
"397","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Kirtland for Sanitary Sewer Extension",2e+06,"Joyce (OH)"
"398","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Chardon for Water Tank Upgrade",1280000,"Joyce (OH)"
"399","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Fairport Harbor Village for Water System Upgrade",929600,"Joyce (OH)"
"400","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Guilford Township Municipal Authority for Sewer Improvement Project",2e+06,"Joyce (PA)"
"401","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Fairfield Municipal Authority for Sanitary Sewer Rehabilitation",1e+06,"Joyce (PA)"
"402","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Defiance for Water Distribution Upgrades",960000,"Kaptur"
"403","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Borough of Mount Arlington for Stormwater Improvement Project",560000,"Kean"
"404","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","Borough of Hopatcong for Lead Service Line Replacement",1e+06,"Kean"
"405","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Sparta Township for Pump Station Improvements",4e+05,"Kean"
"406","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Rockland for Wastewater Treatment Plant and Collection System Upgrades",1092000,"Keating"
"407","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Wareham for Sewer Improvements Phase 2",1092000,"Keating"
"408","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Westport for Trunk Water and Sewer—Sections 2 and 3",1092000,"Keating"
"409","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Southland Water Agency for Water Intake Pipe Project",1092000,"Kelly (IL)"
"410","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MS","City of Oxford for Water Infrastructure Improvements",1e+06,"Kelly (MS)"
"411","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Hermitage Municipal Authority for Sewer Upgrades",913600,"Kelly (PA)"
"412","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Cranberry Township for Water Line Replacement",1e+06,"Kelly (PA)"
"413","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","City of Meadville for Force Main Replacement",750000,"Kelly (PA)"
"414","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Chicora Borough Water Department for Water Plant Improvement Project",1250000,"Kelly (PA)"
"415","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Buffalo Sewer Authority for Lead Service Line Replacement Project",1092000,"Kennedy (NY)"
"416","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Erie County Water Authority for Lead Service Line Replacement Program",1092000,"Kennedy (NY)"
"417","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Grand Island for Water Treatment Plant Filter Upgrades",1092000,"Kennedy (NY)"
"418","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Tonawanda for Old Town Waterline Replacement",1092000,"Kennedy (NY)"
"419","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","UT","Draper City Waterline Transmission and Distribution Upgrades",2e+06,"Kennedy (UT)"
"420","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of San Jose for Restoration Project",1092000,"Khanna"
"421","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","City of Sunnyvale for Cleanwater Center Project",1092000,"Khanna"
"422","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Santa Clara Valley Water District for Silicon Valley Regional Purified Water Facility",1092000,"Khanna"
"423","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Suffolk for Sanitary Sewer Improvements",1250000,"Kiggans"
"424","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Virginia Beach for Stormwater Storage Project",1e+06,"Kiggans"
"425","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Suffolk for Sanitary Sewer Relocation Project",1e+06,"Kiggans"
"426","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Hampton Roads Sanitation District for Onancock Pump Station Project",750000,"Kiggans"
"427","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Town of Parksley for Water Storage Improvement Project",750000,"Kiggans"
"428","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","South Tahoe Public Utility District for Water Improvement Project",1200000,"Kiley"
"429","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Tahoe City Public Utility District for Water Infrastructure Improvement Project",1250000,"Kiley"
"430","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Orange County Water District for PFAS Treatment Project",750000,"Kim"
"431","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Santa Margarita Water District for Water Treatment Plant",750000,"Kim"
"432","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","DuPage County for Newton & Second Ave Flood Reduction Project",240000,"Krishnamoorthi"
"433","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Fox River Water Reclamation District for Influent Bar Screen Installation Project",1092000,"Krishnamoorthi"
"434","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","DuPage Water Commission for Regional Source Water Project Stage 1",1e+06,"Krishnamoorthi"
"435","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Elk Grove for Water Main Lining Project",1092000,"Krishnamoorthi"
"436","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Town of Arlington for Wastewater Treatment Plant Expansion",1e+06,"Kustoff"
"437","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","City of Bartlett for Sewer Equalization Tank Installation",1e+06,"Kustoff"
"438","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Jackson Energy Authority for Water and Wastewater Extension Project",750000,"Kustoff"
"439","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TN","City of Henderson for Water Main Replacement Project",750000,"Kustoff"
"440","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","City of Selmer for Sewer System Upgrade",750000,"Kustoff"
"441","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Dixon for Flooding Mediation Project",2e+06,"LaHood"
"442","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of South Beloit for Lift Station and Force Main Improvements Project",750000,"LaHood"
"443","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Riverhead for Water Service Expansion",2250000,"LaLota"
"444","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Smithtown for Water Service Expansion",1086400,"LaLota"
"445","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Town of Brookhaven for Water Infrastructure Improvements",1250000,"LaLota"
"446","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Suffolk County for Outfall Pipe Replacement",1e+06,"LaLota"
"447","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","Suffolk County for Wastewater Treatment Plant Improvements",1e+06,"LaLota"
"448","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Williams for Water Infrastructure Improvements",1e+06,"LaMalfa"
"449","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NY","City of Corning for Wastewater Treatment Plant Boiler Replacement",984000,"Langworthy"
"450","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Allegany County for Water System Improvements",1250000,"Langworthy"
