"","Agency","Account","State","Project","Amount","Requestor"
"372","National Park Service","Historic Preservation Fund","DE","Historic Buttonwood Colored School for Preservation, African Amer- ican Civil Rights.","500,000","Coons"
"373","National Park Service","Historic Preservation Fund","DE","Rehoboth Art League for Historic Preservation, Save America's Treasures.","100,000","Coons"
"374","National Park Service","Historic Preservation Fund","DE","Smyrna Clayton Heritage Association for Smyrna Opera House Ren- ovations, Save America's Treasures.","450,000","Coons"
"375","National Park Service","Historic Preservation Fund","GA","Hamilton Hood Foundation, Inc. for Pierce Chapel African Cemetery survey, African American Civil Rights.","10,000","Warnock"
"376","National Park Service","Historic Preservation Fund","GA","Spelman College for Spelman Reynolds Cottage Historic Preserva- tion, Save America's Treasures.","250,000","Ossoff"
"377","National Park Service","Historic Preservation Fund","HI","Honolulu Museum of Art for Comprehensive Roof Replacement Project, Save America's Treasures.","500,000","Hirono"
"378","National Park Service","Historic Preservation Fund","MA","Gloucester Adventure, Inc. for Schooner Adventure Second Century Preservation, Save America's Treasures.","250,000","Markey, Warren"
"379","National Park Service","Historic Preservation Fund","MA","Revolutionary Spaces, Inc. for Stabilization at the Old State House, Save America's Treasures.","286,000","Markey, Warren 175"
"380","National Park Service","Historic Preservation Fund","MA","The House of the Seven Gables Settlement Association for The House of the Seven Gables Stormwater Management Improve- ments, Save America's Treasures.","461,000","Markey, Warren"
"381","National Park Service","Historic Preservation Fund","MD","Garrett Park Town Hall for Historic Preservation, Save America's Treasures.","500,000","Alsobrooks, Van Hollen"
"382","National Park Service","Historic Preservation Fund","MD","Mount Clare Museum for Historic Preservation, Save America's Treasures.","100,000","Van Hollen"
"383","National Park Service","Historic Preservation Fund","MD","Mount Vernon Place Conservancy, Inc. for Revitalization and Res- toration of the North and South Park Squares, Save America's Treasures.","500,000","Van Hollen"
"384","National Park Service","Historic Preservation Fund","MD","Preservation Maryland for Restoration of Fort Frederick, Save Amer- ica's Treasures.","500,000","Van Hollen"
"385","National Park Service","Historic Preservation Fund","MD","Thomas Point Shoal Lighthouse for Restoration, Save America's Treasures.","75,000","Alsobrooks, Van Hollen"
"386","National Park Service","Historic Preservation Fund","ME","Town of Oakland for Memorial Hall Rehabilitation, Save America's Treasures.","39,000","Collins, King"
"387","National Park Service","Historic Preservation Fund","MI","Wayne State University for the Preservation of the Historic Freer House, Save America's Treasures.","550,000","Peters"
"388","National Park Service","Historic Preservation Fund","MN","Brainerd Historic Water Tower Preservation Committee for Preserva- tion of Brainerd Historic Water Tower, Save America's Treasures.","500,000","Klobuchar, Smith"
"389","National Park Service","Historic Preservation Fund","MS","City of Louisville for Historic Strand Theater Preservation and Res- toration.","500,000","Hyde-Smith, Wicker"
"390","National Park Service","Historic Preservation Fund","MS","Columbus Cultural Heritage Foundation for Tennessee Williams House Museum Preservation, Save America's Treasures.","375,000","Wicker"
"391","National Park Service","Historic Preservation Fund","NJ","Save Lucy Committee, Inc. for Repairs and Restoration, Save Amer- ica's Treasures.","350,000","Booker"
"392","National Park Service","Historic Preservation Fund","NM","New Mexico Department of Cultural Affairs for Fort Selden Historic Site Water System Improvement, Save America's Treasures.","500,000","Heinrich, Luján"
"393","National Park Service","Historic Preservation Fund","NM","Pueblo of Laguna for Saint Joseph's Church Building Historic Site, Tribal Heritage Grants.","500,000","Luján"
"394","National Park Service","Historic Preservation Fund","NY","Boscobel Restoration, Inc. for Restoration of the Boscobel House, Save America's Treasures.","500,000","Schumer"
"395","National Park Service","Historic Preservation Fund","NY","George Eastman Museum for Historic Restoration, Save America's Treasures.","500,000","Schumer 176"
"396","National Park Service","Historic Preservation Fund","NY","Manhattan Theatre Club, Inc. for Samuel J. Friedman Theatre Roof Restoration, Save America's Treasures.","500,000","Schumer"
"397","National Park Service","Historic Preservation Fund","NY","The Fort Ticonderoga Association for Barracks Stabilization and Restoration, Save America's Treasures.","500,000","Gillibrand, Schumer"
"398","National Park Service","Historic Preservation Fund","PA","Mt. Zion Historical, Cultural and Educational Community Center and Sepulcher for Old Mt. Zion Historical Museum Restoration Project, African American Civil Rights.","500,000","Fetterman"
"399","National Park Service","Historic Preservation Fund","PA","Rivers of Steel Heritage Corporation for Rivers of Steel Carrie Blast Furnaces National Historic Landmark Preservation and Restora- tion, Save America's Treasures.","500,000","Fetterman"
"400","National Park Service","Historic Preservation Fund","RI","Providence Performing Arts Center for Historic Restoration, Save America's Treasures.","500,000","Reed"
"401","National Park Service","Historic Preservation Fund","VT","Bennington First Congregational Church for Preservation of the First Congregational Church, Save America's Treasures.","500,000","Welch"
"402","National Park Service","Historic Preservation Fund","VT","Town of South Hero for Historic Meeting House Preservation, Save America's Treasures.","400,000","Welch"
"403","National Park Service","Historic Preservation Fund","WV","West Virginia Independence Hall/West Virginia Department of Tour- ism for Exterior Building Repairs, Save America's Treasures.","500,000","Capito"
"404","National Park Service","National Recreation and Preservation","WA","NatureBridge for Rosemary Inn Infrastructure Upgrades","250,000","Murray"
